Timestamp	Type	X	Y	Z
140711112	ACC	-6.9611416	-4.510676	4.5645456
140711121	ACC	-7.690176	-4.5633483	4.2305546
140711132	ACC	-8.058883	-4.7800236	3.3566709
140711141	ACC	-7.929596	-4.9679685	2.7808652
140711152	ACC	-7.7823524	-5.1116204	2.4301147
140711161	ACC	-7.687782	-5.591658	1.8543092
140711173	ACC	-7.8625584	-6.0285997	1.2294226
140711182	ACC	-7.777564	-6.459556	0.78410107
140711193	ACC	-8.611943	-5.2780175	0.90740246
140711202	ACC	-9.793482	-3.7014358	1.0929531
140711213	ACC	-9.352949	-3.8738184	0.29807812
140711222	ACC	-7.926005	-5.237316	0.08619126
140711234	ACC	-6.8581905	-6.1566896	-0.21308395
140711243	ACC	-6.4284315	-6.6510925	0.11133038
140711252	ACC	-7.299921	-6.530185	-0.5722142
140711261	ACC	-7.9822683	-5.744887	-0.94810385
140711272	ACC	-8.9758625	-4.9404354	-0.9995792
140711281	ACC	-9.840169	-4.4340615	-0.5793968
140711292	ACC	-9.903615	-4.4484267	-0.7146692
140711302	ACC	-9.543288	-4.560954	-1.7130513
140711313	ACC	-9.099164	-4.68665	-2.5713725
140711322	ACC	-9.556456	-4.8602295	-3.3770216
140711333	ACC	-10.115502	-5.081693	-3.6224272
140711342	ACC	-10.763134	-5.079299	-4.1695023
140711353	ACC	-11.518504	-5.2026005	-5.3235073
140711362	ACC	-11.161768	-5.470751	-6.0860605
140711372	ACC	-9.673772	-5.469554	-5.815516
140711376	ACC	-9.673772	-5.469554	-5.815516
140711381	ACC	-8.532935	-4.6686935	-4.2461166
140711392	ACC	-8.408437	-4.0019083	-2.9352913
140711401	ACC	-8.950723	-3.1783028	-3.5087025
140711412	ACC	-9.690532	-3.0873232	-3.7565024
140711421	ACC	-9.80665	-3.7134068	-3.2225955
140711432	ACC	-9.232041	-4.548983	-2.6300306
140711441	ACC	-7.7105265	-5.6359506	-2.8562827
140711453	ACC	-7.502231	-5.258864	-3.3614593
140711463	ACC	-8.942344	-3.3734303	-3.2609026
140711472	ACC	-9.331401	-2.6970682	-2.7928362
140711481	ACC	-8.75799	-2.337938	-2.6276364
140711493	ACC	-8.513782	-2.1787236	-2.5821466
140711501	ACC	-9.210494	-2.6671407	-2.8167782
140711512	ACC	-10.311827	-3.2369606	-2.066196
140711521	ACC	-10.338163	-3.120842	-0.81283146
140711533	ACC	-9.218874	-2.542642	0.18195933
140711542	ACC	-8.392874	-1.8435353	0.25378537
140711553	ACC	-8.910022	-2.1176715	-1.9859903
140711562	ACC	-10.324995	-2.6132712	-7.6614456
140711573	ACC	-9.886856	-3.052607	-5.2684407
140711582	ACC	-8.2516165	-3.4799721	-2.48159
140711593	ACC	-7.615956	-3.7229836	-1.0881647
140711602	ACC	-8.173804	-3.6152446	0.04189853
140711613	ACC	-8.911219	-3.4165258	0.108936176
140711622	ACC	-8.813056	-3.7313633	-0.7374141
140711633	ACC	-8.765172	-4.080917	-0.016759412
140711642	ACC	-9.03452	-3.891775	0.49919105
140711653	ACC	-8.876503	-2.516306	1.4688427
140711662	ACC	-9.384073	-1.5837644	3.550601
140711673	ACC	-10.5045595	-2.0626047	3.9624038
140711682	ACC	-10.06283	-2.5917234	4.534618
140711693	ACC	-9.044097	-3.8666358	4.010288
140711703	ACC	-7.693767	-3.8259344	4.413711
140711712	ACC	-6.045359	-3.3039982	5.5006785
140711721	ACC	-5.400122	-3.1387985	4.7285485
140711732	ACC	-7.6734166	-3.2752678	6.421249
140711741	ACC	-7.4866686	-3.2106245	7.358579
140711754	ACC	-6.2823853	-3.8007953	7.3071036
140711762	ACC	-5.7269306	-4.188656	7.0605006
140711773	ACC	-4.936844	-4.8003745	6.3326635
140711782	ACC	-4.9823337	-4.4520183	6.703765
140711793	ACC	-5.380968	-4.072537	5.8083334
140711802	ACC	-5.7736173	-3.58412	5.463568
140711813	ACC	-6.232107	-3.4644098	5.3558292
140711822	ACC	-6.483498	-3.3399115	5.9998693
140711833	ACC	-6.70975	-3.3854012	6.26802
140711842	ACC	-7.001843	-3.7660792	6.375759
140711853	ACC	-7.1969705	-3.8055837	6.9647326
140711862	ACC	-7.2304893	-3.9911342	6.6546836
140711873	ACC	-5.8226986	-3.8067808	6.113594
140711883	ACC	-4.7058034	-3.954024	7.0329676
140711892	ACC	-4.086902	-3.5649664	8.1319065
140711901	ACC	-3.5972881	-3.5685577	8.371326
140711912	ACC	-3.53863	-3.0454245	7.3669586
140711921	ACC	-3.8654387	-2.6910827	7.586028
140711931	ACC	-4.673482	-2.943671	7.0581064
140711936	ACC	-4.673482	-2.943671	7.0581064
140711942	ACC	-4.7656584	-3.5984852	6.6989765
140711952	ACC	-4.6232033	-4.959589	5.16549
140711955	ACC	-4.6232033	-4.959589	5.16549
140711961	ACC	-4.894945	-5.457583	5.1487308
140711972	ACC	-4.960786	-5.1906295	7.1514807
140711981	ACC	-4.8243165	-5.068525	9.203311
140711992	ACC	-4.223372	-4.8542438	10.087969
140712001	ACC	-3.193865	-5.0864816	10.358514
140712013	ACC	-2.3774424	-5.2325277	9.788693
140712022	ACC	-1.6136919	-4.960786	7.928399
140712033	ACC	-1.0450691	-4.630386	7.153875
140712042	ACC	-1.5526398	-4.27365	6.9527617
140712053	ACC	-2.7090392	-3.608062	6.208165
140712062	ACC	-3.2130187	-3.5817258	7.0569096
140712073	ACC	-2.9005754	-3.762488	8.02297
140712082	ACC	-3.288436	-3.277662	8.613141
140712093	ACC	-4.4879313	-2.9221232	8.714894
140712103	ACC	-4.6722846	-2.303222	8.172607
140712112	ACC	-4.2940006	-1.447295	7.5680714
140712121	ACC	-4.3119574	-0.9768343	6.799533
140712132	ACC	-3.4500446	-0.12689269	7.575254
140712142	ACC	-2.5941176	0.90141696	7.727286
140712153	ACC	-1.8112136	1.7262194	7.2568254
140712162	ACC	-1.7190368	3.2980127	6.131551
140712173	ACC	-2.0266917	4.1132383	4.935647
140712182	ACC	-2.231396	4.074931	5.6551046
140712193	ACC	-1.8124107	3.6750996	7.15986
140712202	ACC	-1.7022774	5.0481744	7.9068513
140712213	ACC	-1.7872716	6.8809357	7.347805
140712222	ACC	-2.2972364	7.1311297	6.615179
140712232	ACC	-3.1962593	7.681796	6.625953
140712235	ACC	-3.1962593	7.681796	6.625953
140712242	ACC	-3.6822822	8.215703	7.5106106
140712252	ACC	-3.1316159	8.622718	8.850166
140712261	ACC	-2.4396915	8.628703	10.571598
140712272	ACC	-2.541445	8.040926	11.6585655
140712281	ACC	-3.3925838	8.376115	9.812635
140712292	ACC	-4.187459	8.5700445	6.6630635
140712302	ACC	-3.6044707	8.209718	6.149507
140712313	ACC	-2.385822	7.575254	6.1566896
140712322	ACC	-1.9656396	6.9958572	6.277597
140712333	ACC	-1.1887212	6.9707184	5.946
140712342	ACC	0.079008654	6.715736	4.608838
140712353	ACC	0.91817635	6.777985	2.6731262
140712362	ACC	1.0618285	7.3442135	1.2425907
140712373	ACC	0.80684596	7.5525093	1.5394717
140712382	ACC	-0.21428105	8.045714	2.9975405
140712393	ACC	-1.30484	8.707711	4.4484267
140712402	ACC	-0.93852705	9.035717	6.3709707
140712413	ACC	-0.51235914	8.701726	7.515399
140712422	ACC	-1.13964	8.738836	7.867347
140712433	ACC	-1.7992426	8.291121	8.476671
140712442	ACC	-2.2960393	7.839813	8.27077
140712453	ACC	-2.1679497	8.452729	6.9731126
140712462	ACC	-2.2158337	8.614338	5.911284
140712473	ACC	-2.2984335	8.422802	5.4504004
140712482	ACC	-2.4732103	8.049306	5.3127337
140712493	ACC	-3.0382419	7.7691846	6.1866174
140712502	ACC	-3.5625722	7.5094137	7.762002
140712513	ACC	-3.8283286	7.133524	10.096349
140712522	ACC	-3.309984	7.133524	11.847707
140712533	ACC	-2.516306	6.6965823	12.155362
140712542	ACC	-1.7070658	6.0740895	12.2319765
140712553	ACC	-1.4281414	6.4284315	12.848483
140712563	ACC	-1.9931729	6.7767878	13.0998745
140712572	ACC	-2.2397757	6.673837	12.615048
140712581	ACC	-1.9452889	6.113594	11.693281
140712592	ACC	-1.1875241	5.8885393	10.43872
140712601	ACC	-0.038307227	5.079299	9.664195
140712612	ACC	1.0115502	3.915717	9.148245
140712621	ACC	1.2378023	4.0821137	8.318654
140712631	ACC	0.17357962	5.4922986	8.572439
140712635	ACC	0.17357962	5.4922986	8.572439
140712642	ACC	-0.5446809	6.105214	8.811859
140712653	ACC	-1.958457	7.101202	8.816648
140712662	ACC	-2.9580362	6.853402	8.734048
140712673	ACC	-2.979584	5.6000376	8.572439
